,VCB,BID,CTG,VPB,TCB,MBB,ACB,SSB,STB,VIB,HDB,SHB,TPB,EIB,LPB,MSB,OCB,NAB,BAB,ABB
marcap,496914,236486,143692,133593,112376,97243,85449,71157,54671,51370,47538,42016,39960,29949,27060,25400,24932,13052,11501,9216
price,105000,46750,29900,19900,31950,18650,22000,29000,29000,20250,18900,13700,18150,20300,15650,12700,18200,12336,13800,8904
numberOfDays,4,-1,-1,-1,0,2,0,2,-1,2,2,-1,-1,1,-1,-1,-1,0,-1,0
priceToEarning,16.1,11.8,8.4,11.1,5.9,5.4,5.9,18.4,9.6,5.8,6.0,5.2,6.3,10.0,6.2,5.4,6.9,7.0,12.3,6.7
peg,0.5,0.2,0.2,-0.4,-383.7,0.2,0.1,0.8,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.6,-0.6,0.4,0.5,-0.6
priceToBook,3.4,2.2,1.3,1.3,1.0,1.1,1.4,2.6,1.3,1.6,1.2,0.9,1.2,1.4,1.1,0.9,1.0,1.0,1.1,0.7
dividend,0.0,0.0,0.0,0.0,0.0,0.034,0.055,0.0,0.0,0.101,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roe,0.236,0.21,0.163,0.129,0.178,0.248,0.263,0.155,0.149,0.3,0.226,0.191,0.209,0.151,0.199,0.183,0.15,0.151,0.096,0.108
roa,0.019,0.01,0.01,0.019,0.029,0.025,0.026,0.016,0.01,0.025,0.019,0.015,0.02,0.017,0.014,0.022,0.019,0.01,0.007,0.011
interestMargin,0.034,0.029,0.03,0.07,0.047,0.056,0.044,0.032,0.037,0.047,0.049,0.038,0.038,0.033,0.039,0.043,0.038,0.032,0.021,0.03
badDebtPercentage,0.008,0.015,0.013,0.062,0.008,0.018,0.01,0.016,0.012,0.036,0.018,0.028,0.014,0.023,0.015,0.02,0.033,0.02,0.006,0.04
debtOnEquity,11.8,18.2,15.1,5.4,5.1,8.0,8.8,8.1,13.7,10.0,10.2,11.4,9.2,7.7,12.3,7.4,6.6,13.7,12.3,9.0
income5year,0.269,0.218,0.177,0.23,0.256,0.378,0.452,,0.337,0.498,0.347,0.381,0.454,0.291,0.269,1.068,0.339,0.499,-0.169,0.226
sale5year,0.183,0.123,0.145,0.182,0.2,0.269,0.203,,0.248,0.346,0.24,0.246,0.34,0.137,0.227,0.269,0.257,0.288,-0.194,0.106
income1quarter,-0.095,0.306,0.128,0.119,0.269,0.463,0.441,0.02,0.085,-0.028,0.203,5.021,-0.07,0.725,0.862,0.577,-0.435,1.152,-0.061,
sale1quarter,-0.008,-0.023,-0.013,-0.032,-0.014,0.015,-0.001,-0.043,-0.132,0.052,-0.036,0.319,-0.001,-0.103,-0.149,0.076,-0.211,-0.099,-0.324,0.631
nextIncome,0.214,-0.023,0.099,0.006,-0.084,0.181,0.115,-0.102,0.542,0.161,0.094,0.05,0.074,-0.09,0.131,0.088,0.014,0.195,0.107,0.062
nextSale,0.169,0.124,0.087,0.063,0.084,0.19,0.137,0.041,0.106,0.186,0.091,0.09,0.124,0.117,0.124,0.195,0.083,0.142,0.071,0.274
rsi,63.5,63.5,59.1,52.0,50.3,73.1,56.7,82.9,47.8,65.7,58.8,70.4,50.7,46.5,55.2,48.3,49.8,72.7,38.0,56.8
rs,68.0,56.0,43.0,41.0,33.0,56.0,47.0,60.0,46.0,49.0,48.0,62.0,39.0,22.0,47.0,25.0,36.0,80.0,20.0,37.0
